blind_id,expert_subtype,notes,grader,graded_at
B001,Glomerular,,YY,2026-07-27T11:03:49Z
B002,Medusa,,YY,2026-07-27T11:04:22Z
B003,Glomerular,,YY,2026-07-27T10:13:09Z
B004,Glomerular,,YY,2026-07-27T11:03:54Z
B005,Medusa,,YY,2026-07-27T10:13:25Z
B006,Tree in bud,,YY,2026-07-27T11:03:58Z
B007,Medusa,,YY,2026-07-27T11:04:26Z
B008,Glomerular,,YY,2026-07-27T10:21:19Z
B009,Medusa,,YY,2026-07-27T10:21:29Z
B010,Seafan,,YY,2026-07-27T10:21:36Z
B011,Glomerular,,YY,2026-07-27T10:21:42Z
B012,Dead tree,,YY,2026-07-27T10:21:48Z
B013,Glomerular,,YY,2026-07-27T10:21:59Z
B014,Glomerular,,YY,2026-07-27T10:22:10Z
B015,Glomerular,,YY,2026-07-27T11:04:02Z
B016,Glomerular,,YY,2026-07-27T10:22:22Z
B017,Glomerular,,YY,2026-07-27T10:41:36Z
B018,Glomerular,,YY,2026-07-27T10:13:50Z
B019,Tree in bud,,YY,2026-07-27T10:14:14Z
B020,Glomerular,,YY,2026-07-27T11:04:03Z
B021,Medusa,,YY,2026-07-27T10:33:53Z
B022,Glomerular,,YY,2026-07-27T11:04:04Z
B023,Dead tree,,YY,2026-07-27T10:34:12Z
B024,Glomerular,,YY,2026-07-27T10:34:18Z
B025,Medusa,,YY,2026-07-27T10:34:34Z
B026,Medusa,,YY,2026-07-27T10:34:39Z
B027,Glomerular,,YY,2026-07-27T11:04:05Z
B028,Medusa,,YY,2026-07-27T10:35:40Z
B029,Glomerular,,YY,2026-07-27T10:35:46Z
B030,Glomerular,,YY,2026-07-27T10:35:53Z
B031,Glomerular,,YY,2026-07-27T10:35:58Z
B032,Seafan,,YY,2026-07-27T10:36:04Z
B033,Glomerular,,YY,2026-07-27T10:36:13Z
B034,Tree in bud,,YY,2026-07-27T11:04:06Z
B035,Glomerular,,YY,2026-07-27T10:36:26Z
B036,Glomerular,,YY,2026-07-27T10:36:32Z
B037,Glomerular,,YY,2026-07-27T11:04:07Z
B038,Glomerular,,YY,2026-07-27T11:04:08Z
B039,Glomerular,,YY,2026-07-27T10:37:32Z
B040,Glomerular,,YY,2026-07-27T11:04:12Z
B041,Glomerular,,YY,2026-07-27T11:04:14Z
B042,Dead tree,,YY,2026-07-27T10:37:57Z
B043,Glomerular,,YY,2026-07-27T10:38:04Z
B044,Glomerular,,YY,2026-07-27T10:38:10Z
B045,Glomerular,,YY,2026-07-27T10:38:16Z
B046,Seafan,,YY,2026-07-27T10:38:24Z
B047,Glomerular,,YY,2026-07-27T10:38:29Z
B048,Tree in bud,,YY,2026-07-27T11:04:16Z
B049,Glomerular,,YY,2026-07-27T10:38:41Z
B050,Glomerular,,YY,2026-07-27T10:38:47Z
B051,Medusa,,YY,2026-07-27T11:04:31Z
B052,Tree in bud,,YY,2026-07-27T10:39:02Z
B053,Glomerular,,YY,2026-07-27T10:39:08Z
B054,Medusa,,YY,2026-07-27T11:04:36Z
