metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,delta_vs_original,delta_vs_C,spearman_YY,spearman_Inoue,spearman_Osada,spearman_mean
caliber_U2_softcv_dil,46,3,0.8377183398566039,0.75,0.9,pingouin,309.181871112137,0.0,60.18592613070737,0.8370569210960814,0.40379019236956426,0.07288717147068635,-0.10354609929078012,-0.27967930928152945,-0.23983965464076473,-0.2076883544043581
caliber_M_soft75_dil25,46,3,0.8377183398566039,0.75,0.9,pingouin,309.181871112137,0.0,60.18592613070737,0.8370569210960814,0.40379019236956426,0.07288717147068635,-0.10354609929078012,-0.27967930928152945,-0.23983965464076473,-0.2076883544043581
caliber_U2_winsorcv_dil,46,3,0.8344992366182472,0.75,0.9,pingouin,401.99658676837066,0.0,80.8153910719888,0.8326151902165314,0.40057108913120754,0.06966806823232963,-0.12322304116376977,-0.2764724020968239,-0.2614246068455134,-0.22037335003536904
caliber_M_cv70_dil30,46,3,0.8344992366182472,0.75,0.9,pingouin,401.99658676837066,0.0,80.8153910719888,0.8326151902165314,0.40057108913120754,0.06966806823232963,-0.12322304116376977,-0.2764724020968239,-0.2614246068455134,-0.22037335003536904
caliber_M_cv80_dil20,46,3,0.8228762711299434,0.73,0.89,pingouin,439.81649053322684,3.0298125524891155,91.64047939166299,0.8228762711299435,0.38894812364290376,0.058045102744025856,-0.09139967317552893,-0.28054270736971937,-0.20320690718470552,-0.19171642924331792
caliber_M_cv85_dil15,46,3,0.8112192625332145,0.71,0.88,pingouin,463.63677690712825,6.5806285976186825,101.3133733124596,0.811219262533215,0.37729111504617485,0.04638809414729694,-0.05106540444624693,-0.2690718470551958,-0.17952513105149556,-0.16655412751764612
caliber_M_cv90_dil10,46,3,0.7970514469394934,0.69,0.88,pingouin,490.7306196086785,11.125370108134398,113.82650040722959,0.7970514469394936,0.3631232994524537,0.03222027855357579,-0.028122976361701208,-0.2615479494295405,-0.16287388220783225,-0.15084826933302467
caliber_C_winsor_p25_75,46,3,0.7902427749878391,0.67,0.87,pingouin,1315.4506907556408,47.13183872643804,302.0333738722852,0.7902427749878389,0.35631462750079945,0.025411606601921544,-0.0504784256715206,-0.24566250067288833,-0.1838629489923168,-0.16000129177890857
caliber_C_winsor_p10_90,46,3,0.7834943311252129,0.65,0.87,pingouin,817.141031526217,35.88494691255871,189.91842979029545,0.7834943311252129,0.34956618363817327,0.018663162739295358,-0.023936271349875193,-0.2537488912640554,-0.1682411361809901,-0.1486420995983069
caliber_C_winsor_inv_nv_cv,46,3,0.7648311683859176,0.64,0.86,pingouin,554.7389739947255,23.196629525325058,147.37345411868907,0.7648311683859167,0.3309030208988779,0.0,0.001973785682680163,-0.2536314602244009,-0.16314069081136598,-0.13826612178436226
caliber_C_soft_tanh,46,3,0.7601316579189276,0.63,0.85,pingouin,386.0174991915633,17.770936715025716,104.04135274922584,0.7601316579189279,0.3262035104318879,-0.00469951046699002,0.004748689485044712,-0.2526672833795868,-0.1612704286154795,-0.13639634083667387
