metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,caliber_related,family,rank
Branch Density (n/mm),46,3,0.9105827024967323,0.85,0.95,pingouin,8.663259420354915,0.08248707846362721,0.7682266928542923,0.9105827024967328,False,morphometry/topology,1
Junction Density (n/mm),46,3,0.9105827024967321,0.85,0.95,pingouin,8.663259420355034,0.08248707846362262,0.7682266928543141,0.9105827024967322,False,morphometry/topology,2
Multi-Branch Pts Density (n/mm),46,3,0.9050317449833946,0.85,0.94,pingouin,0.6202589661112888,0.002519469604004966,0.06256654754014944,0.9050317449833941,False,morphometry/topology,3
Arteriolarization Connectivity Index (mm/segment),46,3,0.896091893071332,0.84,0.94,pingouin,1.299367316783498e-08,6.172621371886807e-11,1.4449808454109488e-09,0.8960918930713309,True,caliber/diameter,4
Vsl Length (mm),46,3,0.8822417214056448,0.76,0.94,pingouin,513.6665086127116,20.139452278420602,48.42280493316454,0.8822417214056448,False,morphometry/topology,5
Raw Vsl Length,46,3,0.877569483212335,0.75,0.94,pingouin,582.8167479746277,23.669569660904152,57.63972494429074,0.8775694832123344,False,morphometry/topology,6
Arteriolarization Max Segment Length (mm),46,3,0.8700499142208936,0.8,0.92,pingouin,0.024855487564859557,0.0001225979602791185,0.0035898013955984907,0.8700499142208935,True,caliber/diameter,7
Vsl Area (mm2),46,3,0.8683493650417129,0.74,0.93,pingouin,0.2366834670369178,0.00984204336422737,0.02604158824071098,0.8683493650417133,False,morphometry/topology,8
MNV Area adjusted by signal intensity (aMNV),46,3,0.865983936959055,0.72,0.93,pingouin,0.16348584083253762,0.007824655980109585,0.017475731031977915,0.865983936959055,False,morphometry/topology,9
MNV Area (mm2),46,3,0.8591499521397153,0.68,0.93,pingouin,1.0958017215393734,0.06537414021605929,0.11427287546474243,0.859149952139715,False,morphometry/topology,10
ROI coverage (%),46,3,0.8591499521397149,0.68,0.93,pingouin,125.07781356602165,7.461983642895244,13.04341938152235,0.8591499521397151,False,morphometry/topology,11
End Pts,46,3,0.8553604766249183,0.7,0.93,pingouin,4042.512399355879,212.76634460547513,470.81336553945033,0.8553604766249194,False,morphometry/topology,12
Periphery Total Length (mm),46,3,0.825131219431746,0.63,0.91,pingouin,397.15376006177576,30.123340875447674,54.04483999635173,0.825131219431746,False,morphometry/topology,13
Triple Pts,46,3,0.8236000403244218,0.67,0.91,pingouin,9543.202737520132,571.4144927536228,1472.5637681159371,0.8236000403244225,False,morphometry/topology,14
Vsl Junctions,46,3,0.8153925617403117,0.66,0.9,pingouin,17125.66489533011,1051.666344605475,2825.6380032206175,0.8153925617403116,False,morphometry/topology,15
Vsl Branches,46,3,0.8133776441687618,0.65,0.9,pingouin,211696.07262479866,13545.099194847016,35026.70515297915,0.8133776441687616,False,morphometry/topology,16
Network Complexity Score,46,3,0.8074462961775436,0.66,0.89,pingouin,194.14961824802694,11.111349590761728,35.187987301797904,0.8074462961775435,False,score/composite,17
Arteriolarization Segment Count,46,3,0.8022721324149514,0.66,0.89,pingouin,119127.38003220614,6405.573752012882,22954.542190016076,0.8022721324149517,True,caliber/diameter,18
Arteriolarization Total Length (mm),46,3,0.7996910295905318,0.66,0.89,pingouin,5.96741700483092,0.3272200608337804,1.167516171050277,0.7996910295905318,True,caliber/diameter,19
End Pts Density (n/mm),46,3,0.7956099852764563,0.69,0.87,pingouin,0.43513793194904776,0.01022388884715172,0.10156184783755609,0.7956099852764564,False,morphometry/topology,20
Periphery Loop Number,46,3,0.7814624113541679,0.59,0.88,pingouin,6870.882286634461,570.3455716586149,1351.1109500805155,0.7814624113541682,False,morphometry/topology,21
Periphery Branches,46,3,0.7775105897836503,0.57,0.88,pingouin,149732.5977455716,14427.040096618359,28419.858454106336,0.7775105897836502,False,morphometry/topology,22
Quadruple Pts,46,3,0.7656939634554382,0.61,0.86,pingouin,401.85974235104663,27.58921095008049,95.38180354267315,0.7656939634554379,False,morphometry/topology,23
Periphery Euler Number,46,3,0.7609539963742658,0.57,0.87,pingouin,4604.290499194848,424.89436392914666,1021.4969404186795,0.7609539963742658,False,morphometry/topology,24
(Skel) Vsl Diameter,46,3,0.7597329886537898,0.61,0.86,pingouin,1.7576491304942918,0.1057017556401636,0.45015814499075907,0.7597329886537894,True,caliber/diameter,25
Fractal Dim,46,3,0.6706460451660586,0.48,0.8,pingouin,0.006173304157669459,0.0006898655631448148,0.002341841181980044,0.6706460451660585,False,morphometry/topology,26
Periphery Tortuosity,46,3,0.6625730201368069,0.52,0.78,pingouin,0.0008813332712197283,0.0,0.0004576754371118749,0.6581983117330612,False,morphometry/topology,27
MNV mean gray intensity (AU),46,3,0.6600458477070837,0.26,0.84,pingouin,0.007073396754673868,0.002014057849308289,0.0016290687697288672,0.6600458477070835,False,morphometry/topology,28
Maturity Index,46,3,0.6590213855614526,0.51,0.78,pingouin,208.77462861143113,10.272779769273,97.74751388659973,0.6590213855614522,False,score/composite,29
