subset,metric,metric_label,n,k,icc_2_1,ci_low,ci_high,source
n20_concordant,area,MNV Area (mm²),20,3,0.8641909825049104,0.56,0.95,pingouin
n20_concordant,complexity,Network Complexity Score,20,3,0.9499553412528514,0.9,0.98,pingouin
n20_concordant,caliber_uniformity,Caliber Uniformity Score,20,3,0.8518579373716099,0.72,0.93,pingouin
n20_concordant,maturity,Maturity Index,20,3,0.9243993509874701,0.85,0.97,pingouin
n30_concordant,area,MNV Area (mm²),30,3,0.7996471991307147,0.56,0.91,pingouin
n30_concordant,complexity,Network Complexity Score,30,3,0.8955233342173333,0.8,0.95,pingouin
n30_concordant,caliber_uniformity,Caliber Uniformity Score,30,3,0.7134466671110639,0.55,0.84,pingouin
n30_concordant,maturity,Maturity Index,30,3,0.8628581852576622,0.77,0.93,pingouin
n35_concordant,area,MNV Area (mm²),35,3,0.8667364910325809,0.68,0.94,pingouin
n35_concordant,complexity,Network Complexity Score,35,3,0.8667538887321063,0.74,0.93,pingouin
n35_concordant,caliber_uniformity,Caliber Uniformity Score,35,3,0.6698531494578204,0.5,0.8,pingouin
n35_concordant,maturity,Maturity Index,35,3,0.8228302376640416,0.71,0.9,pingouin
n40_concordant,area,MNV Area (mm²),40,3,0.8471945025050429,0.67,0.93,pingouin
n40_concordant,complexity,Network Complexity Score,40,3,0.8217291015596222,0.68,0.9,pingouin
n40_concordant,caliber_uniformity,Caliber Uniformity Score,40,3,0.6105221486728143,0.44,0.75,pingouin
n40_concordant,maturity,Maturity Index,40,3,0.7770050073604201,0.65,0.87,pingouin
n46_all,area,MNV Area (mm²),46,3,0.8591499521397153,0.68,0.93,pingouin
n46_all,complexity,Network Complexity Score,46,3,0.8074462961775436,0.66,0.89,pingouin
n46_all,caliber_uniformity,Caliber Uniformity Score,46,3,0.4339281474870397,0.26,0.61,pingouin
n46_all,maturity,Maturity Index,46,3,0.6590213855614526,0.51,0.78,pingouin
