metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,analysis
Total Loop Count,46,3.0,0.7999074710655287,0.64,0.89,pingouin,9721.594685990336,657.3033816425126,1774.5009661835768,0.7999074710655286,inter
Total Euler Number,46,3.0,0.7879596868502885,0.63,0.88,pingouin,6417.650724637683,420.9278582930757,1306.0648953301093,0.787959686850289,inter
MNV Area (mm2),46,3.0,0.8591499521397153,0.68,0.93,pingouin,1.0958017215393734,0.0653741402160592,0.1142728754647424,0.859149952139715,inter
Vsl Density (Vessel Area/MNV (%)),46,3.0,0.5195945933445565,0.13,0.75,pingouin,0.0057532946371148,0.0031312183890861,0.0021881476804504,0.5195945933445564,inter
Vsl Area (mm2),46,3.0,0.8683493650417129,0.74,0.93,pingouin,0.2366834670369178,0.0098420433642273,0.0260415882407109,0.8683493650417133,inter
Vsl Length (mm),46,3.0,0.8822417214056448,0.76,0.94,pingouin,513.6665086127116,20.1394522784206,48.42280493316454,0.8822417214056448,inter
(Skel) Vsl Diameter,46,3.0,0.7597329886537898,0.61,0.86,pingouin,1.7576491304942918,0.1057017556401636,0.450158144990759,0.7597329886537894,inter
Junction Density (n/mm),46,3.0,0.910582702496732,0.85,0.95,pingouin,8.663259420355034,0.0824870784636226,0.7682266928543141,0.9105827024967322,inter
Center Loop Number,46,3.0,0.4667702519893484,0.2,0.67,pingouin,360.8784219001609,160.80789049919483,251.45297906602275,0.4667702519893483,inter
Periphery Loop Number,46,3.0,0.7814624113541679,0.59,0.88,pingouin,6870.882286634461,570.3455716586149,1351.1109500805155,0.7814624113541682,inter
Center Euler Number,46,3.0,0.4724103953893812,0.24,0.66,pingouin,228.6027375201288,76.74798711755237,178.55636070853467,0.472410395389381,inter
Periphery Euler Number,46,3.0,0.7609539963742658,0.57,0.87,pingouin,4604.290499194848,424.89436392914666,1021.4969404186796,0.7609539963742658,inter
Fractal Dim,46,3.0,0.6706460451660586,0.48,0.8,pingouin,0.0061733041576694,0.0006898655631448,0.00234184118198,0.6706460451660585,inter
Tortuosity,46,3.0,0.642626738254636,0.49,0.77,pingouin,0.0007205017255035,1.5143963016911387e-06,0.0003991661798531,0.6426267382546362,inter
Network Complexity Score,46,3.0,0.8074462961775436,0.66,0.89,pingouin,194.1496182480269,11.111349590761728,35.187987301797904,0.8074462961775435,inter
Caliber Uniformity Score (PCA),46,3.0,0.4339281474870397,0.26,0.61,pingouin,265.20707716248944,33.2658190075926,312.7045042782501,0.4339281474870398,inter
NV Diameter (CV),46,3.0,0.2592537621076426,0.08,0.45,pingouin,5.201216190729155,0.4762155249597766,14.384827548921468,0.2592537621076426,inter
Dilated vessel (%),46,3.0,0.5215560129300081,0.32,0.69,pingouin,0.000384746861735,7.520614224221047e-05,0.000277737392062,0.521556012930008,inter
Arteriolarization Segment Count,46,3.0,0.8022721324149514,0.66,0.89,pingouin,119127.38003220614,6405.573752012882,22954.54219001608,0.8022721324149517,inter
Arteriolarization Total Length (mm),46,3.0,0.7996910295905318,0.66,0.89,pingouin,5.96741700483092,0.3272200608337804,1.167516171050277,0.7996910295905318,inter
Arteriolarization Density (/mm²),46,3.0,0.5578015967620901,0.31,0.73,pingouin,8052.684323774126,1991.739378673172,4392.0432609284,0.5578015967620901,inter
Maturity Index (PCA),46,3.0,0.6590213855614526,0.51,0.78,pingouin,208.77462861143115,10.272779769273,97.74751388659972,0.6590213855614522,inter
Caliber Uniformity Score (default),46,3.0,0.7696282848783416,0.66,0.86,pingouin,229.48369362018067,0.0,68.94268981760638,0.768979240295693,inter
Maturity Index (default),46,3.0,0.5927667339732219,0.43,0.73,pingouin,40.230675574548485,2.8966886487265673,24.741956487232134,0.5927667339732218,inter
MNV Area (mm2),46,2.0,0.9790941860810295,0.96,0.99,pingouin,1.5777602823116845,0.00023133700912507458,0.03345731454213628,0.97909418608103,intra
Vsl Density (Vessel Area/MNV (%)),46,2.0,0.9881645019312028,0.98,0.99,pingouin,0.010354526298276061,1.5679046150398317e-06,0.00012245089566270147,0.9881645019312024,intra
Vsl Area (mm2),46,2.0,0.973178448181026,0.95,0.99,pingouin,0.31364332014838686,0.0,0.00878948954303095,0.9727400894733919,intra
Vsl Length (mm),46,2.0,0.9671318241437771,0.94,0.98,pingouin,654.8603891552848,0.0,22.640884819862844,0.9665817826629011,intra
(Skel) Vsl Diameter,46,2.0,0.9693376262020351,0.95,0.98,pingouin,2.3925551292026794,0.0018783656115398018,0.07380364416588832,0.9693376262020348,intra
Junction Density (n/mm),46,2.0,0.9771394564550472,0.96,0.99,pingouin,9.406767384560005,0.015063821000655446,0.2050110250117349,0.9771394564550472,intra
Total Loop Count,46,2.0,0.9494570350414243,0.91,0.97,pingouin,14640.57198067633,0.0,795.3661835748791,0.9484730908408986,intra
Total Euler Number,46,2.0,0.9404504447782727,0.89,0.97,pingouin,9972.426570048303,0.0,644.166183574887,0.9393245838355202,intra
Center Loop Number,46,2.0,0.8077269441916927,0.68,0.89,pingouin,500.45942028985496,4.0086956521739125,115.12173913043495,0.8077269441916927,intra
Periphery Loop Number,46,2.0,0.9395997973232844,0.89,0.97,pingouin,10395.285507246383,0.0,669.1758454106204,0.9395202510016517,intra
Center Euler Number,46,2.0,0.8010660031729002,0.67,0.88,pingouin,305.16086956521735,1.794202898550727,73.98840579710145,0.8010660031729002,intra
Periphery Euler Number,46,2.0,0.92872400415478,0.88,0.96,pingouin,7249.761352657003,0.0,559.6647342995195,0.9283347165249077,intra
Fractal Dim,46,2.0,0.8530013289507232,0.75,0.92,pingouin,0.006726170857872102,5.197233041556792e-07,0.0011586088076839768,0.8530013289507229,intra
Tortuosity,46,2.0,0.8185429503024648,0.7,0.9,pingouin,0.000914675004760864,0.0,0.00020386664479322524,0.8177388880651003,intra
Network Complexity Score,46,2.0,0.9500299066880371,0.91,0.97,pingouin,277.7815412692848,0.0,14.897392329543095,0.9490998817497306,intra
Caliber Uniformity Score (default),46,2.0,0.9248495024382059,0.87,0.96,pingouin,327.2378427964591,0.0,27.17347924150672,0.9233278466239412,intra
Caliber Uniformity Score (PCA),46,2.0,0.7947585137565796,0.66,0.88,pingouin,568.2801735285808,0.0,146.99668019497807,0.7944898126791763,intra
NV Diameter (CV),46,2.0,0.9524211826208753,0.92,0.97,pingouin,56.71321300952809,0.0,2.854645887908593,0.9520774132099713,intra
Dilated vessel (%),46,2.0,0.8745619261300832,0.78,0.93,pingouin,0.0005693804603327328,0.0,8.343480790290033e-05,0.8721923154027938,intra
Arteriolarization Segment Count,46,2.0,0.927672549268784,0.87,0.96,pingouin,151180.86763285028,0.0,12006.986714975805,0.9264223016905195,intra
Arteriolarization Total Length (mm),46,2.0,0.926169628541033,0.87,0.96,pingouin,7.607803800322063,0.0,0.6179450456253317,0.9248767428718935,intra
Arteriolarization Density (/mm²),46,2.0,0.9121684605810453,0.85,0.95,pingouin,14806.591323872733,0.0,1456.6764855725355,0.9104315010586902,intra
Maturity Index (default),46,2.0,0.9166959994019366,0.85,0.95,pingouin,84.98761292495439,0.0,7.89193606750506,0.9150304221638095,intra
Maturity Index (PCA),46,2.0,0.8746832155011798,0.78,0.93,pingouin,355.3751983571735,0.0,51.45177547618138,0.8735290952038566,intra
Morphological subtype κ (expert–auto),54,,0.507,0.222,0.714,quadratic_weighted_kappa,,,,,inter_kappa
Morphological subtype κ (YY Session1–Session2),46,2.0,0.950237992211164,0.8934604563389946,0.9878845855685447,quadratic_weighted_kappa,,,,,intra_kappa
