scope,metric,column,n,icc_2_1,pearson,spearman,bias,loa_lo,loa_hi
pooled,MNV Area,MNV Area (mm2),23,0.6327,0.6601,0.6077,-0.055073,-0.552502,0.442356
pooled,Vsl Area,Vsl Area (mm2),23,0.7646,0.7799,0.7875,0.00267398,-0.218863,0.224211
pooled,Vsl Density,Vsl Density (Vessel Area/MNV (%)),23,0.6320,0.7145,0.7579,0.0188317,-0.0385131,0.0761764
pooled,Caliber (PCA),Caliber Uniformity Score,23,0.3243,0.3640,0.3923,-8.93609,-45.2131,27.3409
pooled,Caliber U2,Caliber Uniformity Score (U2),23,0.7069,0.7062,0.5711,-0.140561,-12.9898,12.7087
pooled,Maturity,Maturity Index,23,0.4520,0.5033,0.4654,-4.74122,-22.7394,13.2569
pooled,Maturity U2,Maturity Index (U2),23,0.7681,0.7685,0.7510,-0.343457,-6.66517,5.97826
pooled,Complexity,Network Complexity Score,23,0.9748,0.9768,0.9802,0.546353,-3.41408,4.50678
pooled,Fractal Dim,Fractal Dim,23,0.8180,0.8563,0.8449,-0.0131571,-0.0579499,0.0316358
pooled,Tortuosity,Tortuosity,23,0.8913,0.8965,0.8073,-0.00424774,-0.0305874,0.0220919
pooled,NV Diameter CV,NV Diameter (CV),23,0.8676,0.9335,0.8824,-0.425478,-1.22164,0.370683
pooled,Dilated vessel %,Dilated vessel (%),23,0.5198,0.5144,0.5277,0.00302897,-0.0385657,0.0446237
102-001,MNV Area,MNV Area (mm2),12,0.3833,0.4281,0.4615,-0.146186,-0.691356,0.398985
102-001,Vsl Area,Vsl Area (mm2),12,0.4449,0.4524,0.4476,-0.0325873,-0.286457,0.221283
102-001,Vsl Density,Vsl Density (Vessel Area/MNV (%)),12,0.4387,0.4996,0.5594,0.0217519,-0.0492509,0.0927547
102-001,Caliber (PCA),Caliber Uniformity Score,12,0.1017,0.2901,0.1259,-14.5336,-43.5563,14.489
102-001,Caliber U2,Caliber Uniformity Score (U2),12,0.6876,0.7361,0.7133,-3.1279,-15.7621,9.50629
102-001,Maturity,Maturity Index,12,0.2831,0.4267,0.2448,-7.41436,-22.565,7.73627
102-001,Maturity U2,Maturity Index (U2),12,0.6393,0.6822,0.6224,-1.71152,-7.94386,4.52083
102-001,Complexity,Network Complexity Score,12,0.9732,0.9721,0.9650,0.295105,-4.21475,4.80496
102-001,Fractal Dim,Fractal Dim,12,0.7568,0.8042,0.7692,-0.0175348,-0.0718602,0.0367906
102-001,Tortuosity,Tortuosity,12,0.7618,0.7504,0.6853,-0.00236367,-0.0351061,0.0303787
102-001,NV Diameter CV,NV Diameter (CV),12,0.8521,0.9216,0.8811,-0.386401,-1.29346,0.520657
102-001,Dilated vessel %,Dilated vessel (%),12,0.5894,0.6562,0.5734,0.0120402,-0.0252835,0.0493638
102-002,MNV Area,MNV Area (mm2),11,0.1510,0.1474,0.0727,0.0443228,-0.326365,0.41501
102-002,Vsl Area,Vsl Area (mm2),11,0.5972,0.6342,0.5727,0.0411408,-0.117268,0.199549
102-002,Vsl Density,Vsl Density (Vessel Area/MNV (%)),11,0.7472,0.9084,0.9273,0.0156459,-0.0244388,0.0557307
102-002,Caliber (PCA),Caliber Uniformity Score,11,-0.1037,-0.0986,0.1909,-2.82968,-43.6549,37.9955
102-002,Caliber U2,Caliber Uniformity Score (U2),11,0.7611,0.8031,0.7000,3.11835,-6.96242,13.1991
102-002,Maturity,Maturity Index,11,-0.0679,-0.0672,0.1000,-1.82506,-21.6059,17.9558
102-002,Maturity U2,Maturity Index (U2),11,0.8477,0.8634,0.8455,1.14897,-4.06203,6.35997
102-002,Complexity,Network Complexity Score,11,0.9776,0.9835,0.9545,0.820442,-2.57453,4.21542
102-002,Fractal Dim,Fractal Dim,11,0.9117,0.9341,0.9273,-0.0083813,-0.0397337,0.0229711
102-002,Tortuosity,Tortuosity,11,0.9562,0.9685,0.8727,-0.00630309,-0.0239899,0.0113837
102-002,NV Diameter CV,NV Diameter (CV),11,0.8860,0.9545,0.8545,-0.468108,-1.15714,0.220928
102-002,Dilated vessel %,Dilated vessel (%),11,0.4531,0.4698,0.6636,-0.00680141,-0.0454176,0.0318147
