case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g1,5,1,3,0.00013333333
abe 20250409,g1,5,5,1,4.4444444e-05
abe 20250409,g1,5,6,2,8.8888889e-05
abe 20250409,g1,5,7,4,0.00017777778
abe 20250409,g1,5,25,1,4.4444444e-05
abe 20250409,g1,5,26,1,4.4444444e-05
abe 20250409,g1,5,31,1,4.4444444e-05
abe 20250409,g1,5,41,2,8.8888889e-05
abe 20250409,g1,5,43,2,8.8888889e-05
abe 20250409,g1,5,46,2,8.8888889e-05
abe 20250409,g1,5,51,3,0.00013333333
abe 20250409,g1,5,56,1,4.4444444e-05
abe 20250409,g1,5,57,1,4.4444444e-05
abe 20250409,g1,5,66,1,4.4444444e-05
abe 20250409,g1,5,68,2,8.8888889e-05
abe 20250409,g1,5,69,1,4.4444444e-05
abe 20250409,g1,5,80,1,4.4444444e-05
abe 20250409,g1,5,82,3,0.00013333333
abe 20250409,g1,5,83,3,0.00013333333
abe 20250409,g1,5,92,2,8.8888889e-05
abe 20250409,g1,5,95,3,0.00013333333
abe 20250409,g1,5,106,2,8.8888889e-05
abe 20250409,g1,5,107,1,4.4444444e-05
abe 20250409,g1,5,130,1,4.4444444e-05
abe 20250409,g1,5,151,1,4.4444444e-05
abe 20250409,g1,5,175,1,4.4444444e-05
abe 20250409,g1,5,192,2,8.8888889e-05
abe 20250409,g1,5,194,2,8.8888889e-05
abe 20250409,g1,5,197,1,4.4444444e-05
abe 20250409,g1,5,224,1,4.4444444e-05
abe 20250409,g1,5,237,1,4.4444444e-05
abe 20250409,g1,5,238,2,8.8888889e-05
abe 20250409,g1,5,241,3,0.00013333333
abe 20250409,g1,5,246,1,4.4444444e-05
abe 20250409,g1,5,247,1,4.4444444e-05
abe 20250409,g1,5,248,2,8.8888889e-05
abe 20250409,g1,5,250,1,4.4444444e-05
abe 20250409,g1,5,253,2,8.8888889e-05
abe 20250409,g1,5,254,4,0.00017777778
abe 20250409,g1,5,256,3,0.00013333333
abe 20250409,g1,5,265,3,0.00013333333
abe 20250409,g1,5,266,1,4.4444444e-05
abe 20250409,g1,5,269,1,4.4444444e-05
abe 20250409,g1,5,272,2,8.8888889e-05
abe 20250409,g1,5,290,1,4.4444444e-05
abe 20250409,g1,5,291,1,4.4444444e-05
abe 20250409,g1,5,295,3,0.00013333333
abe 20250409,g1,5,299,2,8.8888889e-05
abe 20250409,g1,5,307,2,8.8888889e-05
abe 20250409,g1,5,326,2,8.8888889e-05
abe 20250409,g1,5,356,1,4.4444444e-05
abe 20250409,g1,5,389,7,0.00031111111
abe 20250409,g1,5,390,1,4.4444444e-05
abe 20250409,g1,5,404,1,4.4444444e-05
abe 20250409,g1,5,417,2,8.8888889e-05
abe 20250409,g1,5,422,1,4.4444444e-05
abe 20250409,g1,5,442,1,4.4444444e-05
abe 20250409,g1,5,461,1,4.4444444e-05
abe 20250409,g1,5,467,1,4.4444444e-05
abe 20250409,g1,5,475,1,4.4444444e-05
abe 20250409,g1,5,499,1,4.4444444e-05
abe 20250409,g1,5,510,2,8.8888889e-05
abe 20250409,g1,5,514,1,4.4444444e-05
abe 20250409,g1,5,528,1,4.4444444e-05
abe 20250409,g1,5,529,1,4.4444444e-05
abe 20250409,g1,5,537,1,4.4444444e-05
abe 20250409,g1,5,555,1,4.4444444e-05
abe 20250409,g1,5,556,1,4.4444444e-05
abe 20250409,g1,5,563,1,4.4444444e-05
abe 20250409,g1,5,571,1,4.4444444e-05
abe 20250409,g1,5,595,1,4.4444444e-05
abe 20250409,g2,5,1,1,4.4444444e-05
abe 20250409,g2,5,5,2,8.8888889e-05
abe 20250409,g2,5,9,1,4.4444444e-05
abe 20250409,g2,5,29,1,4.4444444e-05
abe 20250409,g2,5,33,3,0.00013333333
abe 20250409,g2,5,34,2,8.8888889e-05
abe 20250409,g2,5,35,2,8.8888889e-05
abe 20250409,g2,5,37,1,4.4444444e-05
abe 20250409,g2,5,38,1,4.4444444e-05
abe 20250409,g2,5,39,2,8.8888889e-05
abe 20250409,g2,5,42,2,8.8888889e-05
abe 20250409,g2,5,48,1,4.4444444e-05
abe 20250409,g2,5,54,2,8.8888889e-05
abe 20250409,g2,5,55,2,8.8888889e-05
